,0,1
0,2.497383261804542e-119,0.0
1,4.743512682612876e-128,0.0
2,3.863919636958005e-110,0.0
3,1.5244080307514996e-127,0.0
4,5.404794536970956e-104,0.0
5,4.005037977449124e-124,0.0
6,4.545301076669516e-131,0.0
7,7.36657343044643e-110,0.0
8,3.252209732990252e-126,0.0
9,4.976208078309807e-113,0.0
10,7.493092861383583e-130,0.0
11,5.622576753853402e-125,0.0
12,3.0580823109196567e-128,0.0
13,2.6370906833252717e-125,0.0
14,6.674879166947771e-125,0.0
15,3.005351965565347e-124,0.0
16,2.0303196315379596e-103,0.0
17,9.080484994692966e-119,0.0
18,9.841779135240188e-130,0.0
19,1.2069580838268365e-107,0.0
20,5.692401123644685e-108,0.0
21,7.515129282825728e-108,0.0
22,3.754238668069491e-125,0.0
23,2.316888151331943e-115,0.0
24,5.503583928099641e-128,0.0
25,9.039329497545199e-115,0.0
26,1.0422470182760922e-123,0.0
27,4.0452792887989165e-117,0.0
28,1.387144203882531e-114,0.0
29,3.593051332958784e-132,0.0
